--- Merge Sort Benchmark Log ---
N Range: 100000 to 1000000 (Step: 100000)
T Range: 2 to 99 (Step: 1)
Iterations per case: 10


[ Target N = 100000 ]
  > Thread  2: Avg Time = 0.0031s
  > Thread  3: Avg Time = 0.0024s
  > Thread  4: Avg Time = 0.0021s
  > Thread  5: Avg Time = 0.0022s
  > Thread  6: Avg Time = 0.0022s
  > Thread  7: Avg Time = 0.0021s
  > Thread  8: Avg Time = 0.0020s
  > Thread  9: Avg Time = 0.0021s
  > Thread 10: Avg Time = 0.0022s
  > Thread 11: Avg Time = 0.0022s
  > Thread 12: Avg Time = 0.0022s
  > Thread 13: Avg Time = 0.0022s
  > Thread 14: Avg Time = 0.0022s
  > Thread 15: Avg Time = 0.0022s
  > Thread 16: Avg Time = 0.0022s
  > Thread 17: Avg Time = 0.0023s
  > Thread 18: Avg Time = 0.0023s
  > Thread 19: Avg Time = 0.0023s
  > Thread 20: Avg Time = 0.0023s
  > Thread 21: Avg Time = 0.0023s
  > Thread 22: Avg Time = 0.0023s
  > Thread 23: Avg Time = 0.0023s
  > Thread 24: Avg Time = 0.0023s
  > Thread 25: Avg Time = 0.0023s
  > Thread 26: Avg Time = 0.0023s
  > Thread 27: Avg Time = 0.0023s
  > Thread 28: Avg Time = 0.0023s
  > Thread 29: Avg Time = 0.0023s
  > Thread 30: Avg Time = 0.0023s
  > Thread 31: Avg Time = 0.0023s
  > Thread 32: Avg Time = 0.0023s
  > Thread 33: Avg Time = 0.0025s
  > Thread 34: Avg Time = 0.0025s
  > Thread 35: Avg Time = 0.0025s
  > Thread 36: Avg Time = 0.0025s
  > Thread 37: Avg Time = 0.0024s
  > Thread 38: Avg Time = 0.0025s
  > Thread 39: Avg Time = 0.0025s
  > Thread 40: Avg Time = 0.0025s
  > Thread 41: Avg Time = 0.0026s
  > Thread 42: Avg Time = 0.0025s
  > Thread 43: Avg Time = 0.0025s
  > Thread 44: Avg Time = 0.0025s
  > Thread 45: Avg Time = 0.0025s
  > Thread 46: Avg Time = 0.0025s
  > Thread 47: Avg Time = 0.0025s
  > Thread 48: Avg Time = 0.0025s
  > Thread 49: Avg Time = 0.0025s
  > Thread 50: Avg Time = 0.0026s
  > Thread 51: Avg Time = 0.0026s
  > Thread 52: Avg Time = 0.0025s
  > Thread 53: Avg Time = 0.0026s
  > Thread 54: Avg Time = 0.0025s
  > Thread 55: Avg Time = 0.0025s
